"P1","P2","P3","P4","P5","Team","Mins","PTS","oPTS","POSS","oPOSS","ePOSS","ORTG","DRTG","NETRTG","FG.","oFG.","TPP","oTPP","FTP","oFTP","eFG.","oeFG.","TS.","oTS.","RIM.","oRIM.","MID.","oMID.","TPrate","oTPrate","RIMrate","oRIMrate","MIDrate","oMIDrate","FTrate","oFTrate","ASTrate","oASTrate","TOrate","oTOrate","BLKrate","oBLKrate","ORB.","DRB.","PACE","ShotsPerPoss","oShotsPerPoss","FGA","oFGA","FGM","oFGM","TPA","oTPA","TPM","oTPM","FTA","oFTA","FTM","oFTM","RIMA","oRIMA","RIMM","oRIMM","ORB","oORB","DRB","oDRB","BLK","oBLK","TO","oTO","AST","oAST","Opponent"
"ANDREW.PLATEK","CALEB.LOVE","DAYRON.SHARPE","GARRISON.BROOKS","LEAKY.BLACK","North Carolina",1.35,2,2,3,3,3,66.667,66.667,0,0,0.333,0,0,1,0,0,0.333,0.513,0.333,0,0.5,0,0,0,0.333,1,0.667,0,0,2,0,0,0,0.333,0,0,1,0,1,13.5,0.667,1,1,3,0,1,0,1,0,0,2,0,2,0,1,2,0,1,0,0,2,1,0,1,1,0,0,0,"Stanford"
"ANDREW.PLATEK","CALEB.LOVE","DAYRON.SHARPE","GARRISON.BROOKS","RJ.DAVIS","North Carolina",2.4,5,4,4,4,4,125,100,25,0.5,0.333,0,1,0.5,1,0.5,0.5,0.505,0.576,1,0,0.5,0,0.25,0.333,0.25,0.333,0.5,0.333,0.5,0.333,0.5,1,0,0,0,0,0.5,1,18,1.25,1,4,3,2,1,1,1,0,1,2,1,1,1,1,1,1,0,1,0,2,1,0,0,0,0,1,1,"Stanford"
"ANDREW.PLATEK","CALEB.LOVE","GARRISON.BROOKS","LEAKY.BLACK","WALKER.KESSLER","North Carolina",1.3,2,3,1,2,1.5,133.333,200,-66.667,1,0.5,0,0,0,1,1,0.5,1,0.606,1,1,0,0,0,0.5,1,0.5,0,0,0,0.5,1,0,0,0,0,0,0,0,26,1,1.5,1,2,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,"Stanford"
"ANDREW.PLATEK","DAYRON.SHARPE","GARRISON.BROOKS","KERWIN.WALTON","LEAKY.BLACK","North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Stanford"
"ANDREW.PLATEK","DAYRON.SHARPE","KERWIN.WALTON","LEAKY.BLACK","RJ.DAVIS","North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Stanford"
"ANDREW.PLATEK","DAYRON.SHARPE","LEAKY.BLACK","RJ.DAVIS","WALKER.KESSLER","North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Stanford"
"ANDREW.PLATEK","GARRISON.BROOKS","LEAKY.BLACK","RJ.DAVIS","WALKER.KESSLER","North Carolina",0.65,0,3,2,2,2,0,150,-150,0,1,0,0,0,1,0,1,0,1.017,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0.5,0,0,0,0,0,9.75,0.5,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"Stanford"
"ARMANDO.BACOT","CALEB.LOVE","GARRISON.BROOKS","KERWIN.WALTON","LEAKY.BLACK","North Carolina",1.45,4,2,3,3,3,133.333,66.667,66.667,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0.333,0.667,0,0,0,0,14.5,0.667,0.333,2,1,2,1,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,1,2,0,0,"Stanford"
"ARMANDO.BACOT","CALEB.LOVE","GARRISON.BROOKS","LEAKY.BLACK","RJ.DAVIS","North Carolina",10.35,17,21,20,17,18.5,91.892,113.514,-21.622,0.364,0.615,0.333,0.5,0.727,0.75,0.409,0.692,0.524,0.705,0.5,0.833,0.333,0.333,0.273,0.308,0.182,0.462,0.545,0.231,1,0.308,0.5,0.625,0.3,0.15,0,0,0.375,0.833,16.784,0.85,0.882,11,13,4,8,3,4,1,2,11,4,8,3,2,6,1,5,3,1,5,5,0,0,6,3,2,5,"Stanford"
"ARMANDO.BACOT","CALEB.LOVE","LEAKY.BLACK","RJ.DAVIS","WALKER.KESSLER","North Carolina",0.167,0,2,0,1,0.5,0,400,-400,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,"Stanford"
