P1,P2,P3,P4,P5,Team,Mins,PTS,oPTS,POSS,oPOSS,ePOSS,ORTG,DRTG,NETRTG,FG.,oFG.,TPP,oTPP,FTP,oFTP,eFG.,oeFG.,TS.,oTS.,RIM.,oRIM.,MID.,oMID.,TPrate,oTPrate,RIMrate,oRIMrate,MIDrate,oMIDrate,FTrate,oFTrate,ASTrate,oASTrate,TOrate,oTOrate,BLKrate,oBLKrate,ORB.,DRB.,PACE,ShotsPerPoss,oShotsPerPoss,FGA,oFGA,FGM,oFGM,TPA,oTPA,TPM,oTPM,FTA,oFTA,FTM,oFTM,RIMA,oRIMA,RIMM,oRIMM,ORB,oORB,DRB,oDRB,BLK,oBLK,TO,oTO,AST,oAST
BRANDON.ROBINSON,GARRISON.BROOKS,LEAKY.BLACK,SHEA.RUSH,WALKER.MILLER,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRANDON.ROBINSON,JEREMIAH.FRANCIS,JUSTIN.PIERCE,LEAKY.BLACK,WALKER.MILLER,North Carolina,2.2,7,7,4,4,4,175,175,0,0.429,1,1,0,0,1,0.5,1,0.5,1.022,0.4,1,0,0,0.143,0,0.714,1,0.143,0,0,1.5,0.667,0.5,0,0,0,0.143,0.75,0,16.5,1.75,1,7,2,3,2,1,0,1,0,0,3,0,3,5,2,2,2,3,0,0,1,0,1,0,0,2,1
CALEB.ELLIS,CHRISTIAN.KEELING,JUSTIN.PIERCE,KJ.SMITH,SHEA.RUSH,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALEB.ELLIS,CHRISTIAN.KEELING,JUSTIN.PIERCE,SHEA.RUSH,WALKER.MILLER,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALEB.ELLIS,CHRISTIAN.KEELING,KJ.SMITH,ROBBIE.OHAN,SHEA.RUSH,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALEB.ELLIS,CHRISTIAN.KEELING,KJ.SMITH,SHEA.RUSH,WALKER.MILLER,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALEB.ELLIS,COLE.ANTHONY,JUSTIN.PIERCE,ROBBIE.OHAN,WALKER.MILLER,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALEB.ELLIS,COLE.ANTHONY,LEAKY.BLACK,ROBBIE.OHAN,WALKER.MILLER,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALEB.ELLIS,GARRISON.BROOKS,KJ.SMITH,ROBBIE.OHAN,SHEA.RUSH,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALEB.ELLIS,GARRISON.BROOKS,KJ.SMITH,RYAN.MCADOO,SHEA.RUSH,North Carolina,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
