"ID","Date","Home","Away","Team","Player","MINS","POSS","FGM","FGA","FG.","TPM","TPA","TP.","FTM","FTA","FT.","RIMM","RIMA","RIM.","MIDM","MIDA","MID.","TS.","eFG.","PBACKM","PBACKA","PBACK.","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","GS"
"4986035","12/19/2020","Kentucky","North Carolina","North Carolina","LEAKY.BLACK",31.651,56,1,7,0.143,0,3,0,4,6,0.667,0,0,0,1,4,0.25,0.305,0.143,0,0,0,1,5,0,1,0,0,3,6,2.7
"4986035","12/19/2020","Kentucky","North Carolina","North Carolina","PUFF.JOHNSON",5.333,8,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,2,1.6
"4986035","12/19/2020","Kentucky","North Carolina","North Carolina","RJ.DAVIS",16.167,25,1,6,0.167,1,4,0.25,0,1,0,0,0,0,0,2,0,0.232,0.25,0,0,0,0,0,1,0,0,0,2,3,-1.3
"4986035","12/19/2020","Kentucky","North Carolina","North Carolina","RYAN.MCADOO",0.217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4986035","12/19/2020","Kentucky","North Carolina","North Carolina","WALKER.KESSLER",2.484,6,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,2,1.6
"4986554","12/22/2020","NC State","North Carolina","North Carolina","ANDREW.PLATEK",10.266,24,3,4,0.75,1,2,0.5,1,1,1,2,2,1,0,0,0,0.894,0.875,0,0,0,2,1,1,0,0,1,3,8,6.6
"4986554","12/22/2020","NC State","North Carolina","North Carolina","ARMANDO.BACOT",24.149,46,7,9,0.778,0,0,0,2,4,0.5,7,8,0.875,0,1,0,0.734,0.778,1,1,1,3,3,0,0,1,3,1,16,12
"4986554","12/22/2020","NC State","North Carolina","North Carolina","CALEB.LOVE",28.15,53,3,14,0.214,0,4,0,5,5,1,1,2,0.5,2,8,0.25,0.336,0.214,0,0,0,1,3,4,1,0,2,1,11,5.4
"4986554","12/22/2020","NC State","North Carolina","North Carolina","DAYRON.SHARPE",14.05,28,3,6,0.5,0,1,0,0,0,0,3,5,0.6,0,0,0,0.5,0.5,3,4,0.75,4,3,1,1,1,3,3,6,4.9
"4986554","12/22/2020","NC State","North Carolina","North Carolina","GARRISON.BROOKS",29.383,54,5,13,0.385,0,0,0,0,1,0,4,5,0.8,1,8,0.125,0.371,0.385,0,0,0,2,5,1,0,3,3,4,10,3.6
"4986554","12/22/2020","NC State","North Carolina","North Carolina","KERWIN.WALTON",12.367,22,1,1,1,0,0,0,1,2,0.5,0,0,0,1,1,1,0.769,1,0,0,0,1,0,1,0,0,0,1,3,3.3
"4986554","12/22/2020","NC State","North Carolina","North Carolina","LEAKY.BLACK",28.718,55,2,5,0.4,0,0,0,2,2,1,1,3,0.333,1,2,0.5,0.504,0.4,0,0,0,0,3,4,3,0,2,4,6,6.4
"4986554","12/22/2020","NC State","North Carolina","North Carolina","PUFF.JOHNSON",4.683,7,1,2,0.5,0,1,0,0,0,0,1,1,1,0,0,0,0.5,0.5,0,0,0,0,1,0,0,0,0,0,2,1.3
"4986554","12/22/2020","NC State","North Carolina","North Carolina","RJ.DAVIS",35.884,70,5,14,0.357,1,4,0.25,0,0,0,1,2,0.5,3,8,0.375,0.393,0.393,0,0,0,0,3,3,0,0,3,2,11,2.4
"4986554","12/22/2020","NC State","North Carolina","North Carolina","WALKER.KESSLER",12.35,24,1,1,1,0,0,0,1,2,0.5,1,1,1,0,0,0,0.769,1,1,1,1,3,3,0,3,3,1,0,3,9.4
