"P1","P2","P3","P4","P5","Team","Mins","PTS","oPTS","POSS","oPOSS","ePOSS","ORTG","DRTG","NETRTG","FG.","oFG.","TPP","oTPP","FTP","oFTP","eFG.","oeFG.","TS.","oTS.","RIM.","oRIM.","MID.","oMID.","TPrate","oTPrate","RIMrate","oRIMrate","MIDrate","oMIDrate","FTrate","oFTrate","ASTrate","oASTrate","TOrate","oTOrate","BLKrate","oBLKrate","ORB.","DRB.","PACE","ShotsPerPoss","oShotsPerPoss","FGA","oFGA","FGM","oFGM","TPA","oTPA","TPM","oTPM","FTA","oFTA","FTM","oFTM","RIMA","oRIMA","RIMM","oRIMM","ORB","oORB","DRB","oDRB","BLK","oBLK","TO","oTO","AST","oAST"
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","GARRISON.BROOKS","KERWIN.WALTON","North Carolina",8.733,15,23,19,20,19.5,76.923,117.949,-41.026,0.462,0.643,0.333,0.5,0.667,1,0.5,0.714,0.52,0.746,0.429,0.714,0.667,0.667,0.231,0.286,0.538,0.5,0.231,0.214,0.231,0.214,0.333,0.444,0.368,0.263,0.071,0.077,0.429,0.8,13.436,0.789,0.8,13,14,6,9,3,4,1,2,3,3,2,3,7,7,3,5,3,1,4,4,1,1,7,5,2,4
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","GARRISON.BROOKS","LEAKY.BLACK","North Carolina",17.45,34,28,31,33,32,106.25,87.5,18.75,0.48,0.357,0.286,0.333,0.8,0.571,0.52,0.429,0.571,0.447,0.9,0.444,0.125,0.286,0.28,0.429,0.4,0.321,0.32,0.25,0.4,0.25,0.417,0.5,0.161,0.194,0.071,0.08,0.25,0.722,16.359,0.968,0.97,25,28,12,10,7,12,2,4,10,7,8,4,10,9,9,4,4,5,13,12,2,2,5,6,5,5
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","GARRISON.BROOKS","PUFF.JOHNSON","North Carolina",3.483,2,10,6,7,6.5,30.769,153.846,-123.077,0,0.5,0,0.5,1,0,0,0.625,0.144,0.625,0,1,0,0,0.333,0.5,0.167,0.25,0.5,0.25,0.333,0,0,0.5,0,0,0.125,0.167,0.167,0.75,16.077,1.167,1.143,6,8,0,4,2,4,0,2,2,0,2,0,1,2,0,2,1,1,3,5,1,1,0,0,0,2
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","GARRISON.BROOKS","RJ.DAVIS","North Carolina",7.8,23,8,14,10,12,191.667,66.667,125,0.818,0.3,0.5,0.2,1,1,0.909,0.35,0.926,0.382,1,1,1,0.25,0.364,0.5,0.545,0.1,0.091,0.4,0.273,0.1,0.778,0.667,0.143,0.214,0,0,0.333,0.556,19.5,0.929,1.1,11,10,9,3,4,5,2,1,3,1,3,1,6,1,6,1,1,4,5,2,0,0,2,3,7,2
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","GARRISON.BROOKS","WALKER.KESSLER","North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","KERWIN.WALTON","LEAKY.BLACK","North Carolina",0.2,1,2,1,1,1,100,200,-100,0,0,0,0,1,1,0,0,1.053,1.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","KERWIN.WALTON","WALKER.KESSLER","North Carolina",2.55,2,10,5,5,5,40,200,-160,0.2,0.8,0,0.667,0,0,0.2,1,0.2,1,1,1,0,0,0.4,0.6,0.2,0.4,0.4,0,0,0,0,0.5,0.4,0,0,0,0.5,1,15.3,1,1,5,5,1,4,2,3,0,2,0,0,0,0,1,2,1,2,2,0,1,2,0,0,2,0,0,2
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","LEAKY.BLACK","PUFF.JOHNSON","North Carolina",2.4,4,2,4,4,4,100,50,50,0.5,0.333,0,0,0,0,0.5,0.333,0.5,0.333,0.333,0.5,1,0,0,0,0.75,0.667,0.25,0.333,0,0,0,1,0,0.25,0,0.25,0,1,18,1,0.75,4,3,2,1,0,0,0,0,0,0,0,0,3,2,1,1,0,0,2,2,0,1,0,1,0,1
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","LEAKY.BLACK","RJ.DAVIS","North Carolina",0.367,2,2,1,2,1.5,133.333,133.333,0,0,1,0,0,1,0,0,1,1.053,0.678,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,7.333,1,1,0,1,0,1,0,0,0,0,2,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","LEAKY.BLACK","WALKER.KESSLER","North Carolina",3.383,5,8,5,7,6,83.333,133.333,-50,0.5,0.333,0.333,0.5,0,0.833,0.625,0.5,0.625,0.684,1,0,0,0,0.75,0.667,0.25,0.333,0,0,0,2,0.5,1,0.4,0.2,0.333,0.25,0.5,1,16.917,0.8,0.857,4,3,2,1,3,2,1,1,0,6,0,5,1,1,1,0,1,0,3,1,1,1,2,1,1,1
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","RJ.DAVIS","WALKER.KESSLER","North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANDREW.PLATEK","ARMANDO.BACOT","DAYRON.SHARPE","GARRISON.BROOKS","KERWIN.WALTON","North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANDREW.PLATEK","ARMANDO.BACOT","DAYRON.SHARPE","GARRISON.BROOKS","RJ.DAVIS","North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANDREW.PLATEK","ARMANDO.BACOT","DAYRON.SHARPE","KERWIN.WALTON","RJ.DAVIS","North Carolina",8.8,10,12,16,14,15,66.667,80,-13.333,0.333,0.455,0,0.333,0,0,0.333,0.545,0.333,0.545,0.714,1,0,0.5,0.2,0.545,0.467,0.091,0.333,0.364,0,0,0.4,0.2,0.25,0.188,0.091,0,0.375,1,17.6,0.938,0.786,15,11,5,5,3,6,0,2,0,0,0,0,7,1,5,1,3,0,6,5,1,0,4,3,2,1
"ANDREW.PLATEK","ARMANDO.BACOT","DAYRON.SHARPE","LEAKY.BLACK","RJ.DAVIS","North Carolina",9.467,16,26,17,16,16.5,96.97,157.576,-60.606,0.571,0.714,0,0.667,0,1,0.571,0.857,0.535,0.87,0.714,0.5,0.6,0.833,0.143,0.429,0.5,0.143,0.357,0.429,0.143,0.143,0.75,0.6,0.235,0.118,0,0.143,0.286,0.75,17.212,0.882,0.938,14,14,8,10,2,6,0,4,2,2,0,2,7,2,5,1,2,1,3,5,0,2,4,2,6,6
"ANDREW.PLATEK","ARMANDO.BACOT","DAYRON.SHARPE","LEAKY.BLACK","WALKER.MILLER","North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANDREW.PLATEK","ARMANDO.BACOT","DAYRON.SHARPE","RJ.DAVIS","WALKER.KESSLER","North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANDREW.PLATEK","ARMANDO.BACOT","GARRISON.BROOKS","KERWIN.WALTON","LEAKY.BLACK","North Carolina",1.35,1,2,2,3,2.5,40,80,-40,0,0.333,0,0,1,0,0,0.333,0.339,0.333,0,0,0,0.5,0,0.333,0,0,1,0.667,1,0,0,0,0,0,0,0,0,0,16.2,1,1,1,3,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ANDREW.PLATEK","ARMANDO.BACOT","GARRISON.BROOKS","KERWIN.WALTON","RJ.DAVIS","North Carolina",2.5,8,8,6,6,6,133.333,133.333,0,0.6,0.5,0.667,0.333,0,0.75,0.8,0.625,0.8,0.678,0,1,1,0,0.6,0.75,0.2,0.25,0.2,0,0,1,0.667,1,0.167,0,0,0,0,1,12.5,0.833,1,5,4,3,2,3,3,2,1,0,4,0,3,1,1,0,1,0,0,3,2,0,0,1,0,2,2
"ANDREW.PLATEK","ARMANDO.BACOT","GARRISON.BROOKS","LEAKY.BLACK","PUFF.JOHNSON","North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
