active_from,active_to,college,height,name,position,weight,nba_3ptapg,nba_3ptpct,nba_3ptpg,nba_efgpct,nba_fg,nba_fg_per_game,nba_fga_per_game,nba_ft,nba_ft_per_g,nba_fta_p_g,nba_g_played,nba_ppg,ncaa_3ptapg,ncaa_3ptpct,ncaa_3ptpg,ncaa_efgpct,ncaa_fgapg,ncaa_fgpct,ncaa_fgpg,ncaa_ft,ncaa_ftapg,ncaa_ftpg,ncaa_games,ncaa_ppg,birth_year,career_length,bmi,age_entering_league
1998,2000,Georgia Institute of Technology,77,Drew Barry,G,191.0,1.1,0.381,0.4,0.534,0.41700000000000004,0.7,1.7,0.774,0.4,0.5,60,2.2,4.1,0.369,1.5,0.545,7.8,0.447,3.5,0.778,2.8,2.2,117.0,10.7,1973.0,2,22.6,25
1993,2006,"University of the Pacific, Georgia Institute of Technology",76,Jon Barry,G,195.0,2.0,0.392,0.8,0.524,0.434,1.9,4.5,0.848,1.1,1.2,821,5.7,5.7,0.371,2.1,0.508,12.1,0.42100000000000004,5.1,0.7170000000000001,2.9,2.1,94.0,14.4,1969.0,13,23.7,24
1966,1980,University of Miami,79,Rick Barry,F,205.0,2.0,0.297,0.6,0.46,0.456,9.5,20.9,0.893,5.6,6.3,1020,24.8,,,,,20.3,0.522,10.6,0.847,10.2,8.6,77.0,29.8,1944.0,14,23.1,22
1950,1951,North Carolina State University,77,Ed Bartels,F,195.0,,,,,0.251,1.4,5.7,0.5379999999999999,1.3,2.5,32,4.2,,,,,,,,,,,,,1925.0,1,23.1,25
1972,1972,Oregon State University,85,Vic Bartolome,C,230.0,,,,,0.254,0.4,1.6,0.8,0.1,0.1,38,0.9,,,,,,,,,,,,,1948.0,0,22.4,24
2013,2018,University of Memphis,78,Will Barton,G,175.0,2.9,0.33899999999999997,1.0,0.491,0.434,3.8,8.8,0.7909999999999999,1.7,2.2,393,10.4,3.6,0.299,1.1,0.521,12.0,0.47100000000000003,5.7,0.733,3.7,2.7,70.0,15.2,1991.0,5,20.2,22
2006,2006,University of North Carolina at Charlotte,77,Eddie Basden,G,215.0,0.4,0.14300000000000002,0.1,0.419,0.405,0.8,1.9,0.8,0.4,0.5,19,2.1,1.0,0.353,0.4,0.524,6.3,0.491,3.1,0.687,3.6,2.5,118.0,9.0,1983.0,0,25.5,23
1976,1976,Temple University,79,Jerry Baskerville,F,190.0,,,,,0.308,0.4,1.2,0.625,0.5,0.8,21,1.2,,,,,,,,,,,,,1951.0,0,21.4,25
2006,2017,Louisiana State University,80,Brandon Bass,F,250.0,0.1,0.207,0.0,0.5,0.499,3.4,6.8,0.8320000000000001,1.9,2.3,758,8.7,0.8,0.37799999999999995,0.3,0.553,9.5,0.54,5.1,0.78,5.8,4.6,59.0,15.1,1985.0,11,27.5,21
1974,1980,University of Georgia,80,Tim Bassett,F,225.0,0.1,0.28600000000000003,0.0,0.424,0.423,2.6,6.1,0.588,1.0,1.8,473,6.2,,,,,12.7,0.49700000000000005,6.3,0.542,3.2,1.7,52.0,14.4,1951.0,6,24.7,23
